"25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over"
62,50,171,139,108,96,142,61,72,101,139,112,85,84,23
77,15,27,159,61,59,109,0,71,55,53,30,29,0,0
74,220,109,70,494,125,165,39,236,34,62,84,65,54,18
0,0,52,26,0,53,11,27,0,0,31,36,21,93,0
52,424,126,51,277,148,201,0,37,56,49,91,0,12,0
0,68,0,35,11,61,95,15,71,34,26,29,28,14,13
61,18,108,70,113,66,70,16,72,16,29,11,54,0,19
28,2,87,52,36,29,58,15,57,39,34,44,8,10,10
32,55,97,96,42,50,86,68,106,84,56,156,111,42,77
61,83,46,196,143,43,109,39,0,0,89,70,37,24,15
48,72,108,7,22,78,116,6,17,25,44,63,12,5,15
107,287,60,237,195,150,370,60,41,79,74,175,34,29,153
98,83,100,87,162,173,72,56,85,31,52,41,36,28,12
58,129,105,6,24,62,42,19,37,40,23,19,6,6,4
0,0,0,0,0,57,52,28,217,26,41,279,285,64,292
0,0,112,63,84,171,128,32,68,87,50,85,59,45,0
0,0,0,0,0,34,48,184,151,75,108,193,157,106,207
0,0,0,0,0,13,0,0,19,14,84,102,209,44,133
0,0,0,0,0,22,38,38,48,13,80,185,236,59,67
0,0,0,0,24,13,87,67,42,54,183,163,110,56,72
0,22,0,0,9,0,26,39,34,76,144,270,265,57,111
0,0,0,0,0,0,86,39,0,0,103,305,130,120,134
0,17,0,0,0,0,20,16,117,0,20,170,206,286,117
0,0,0,0,0,0,33,35,64,119,53,127,294,95,173
8,0,0,0,26,20,39,20,40,0,19,8,0,53,232
15,0,12,9,0,0,15,0,94,51,271,162,42,50,89
0,0,0,0,0,61,0,0,0,0,0,0,88,16,73
32,30,9,46,23,43,33,40,36,52,154,56,145,267,135
0,0,39,42,0,16,16,91,53,25,122,281,380,142,465
126,60,83,91,169,128,166,29,27,60,45,162,38,35,24
103,36,79,96,53,164,115,37,63,43,26,44,75,9,32
32,46,9,43,62,76,82,11,0,17,17,65,0,10,17
23,19,288,196,203,166,162,0,29,20,0,15,41,0,0
58,38,204,358,216,170,240,30,42,63,22,88,25,34,0
58,43,32,96,244,362,144,145,33,21,16,79,0,43,0
126,32,13,37,87,218,124,44,29,13,41,13,27,0,26
38,138,97,197,203,216,267,57,95,58,50,73,153,30,34
101,19,62,418,269,197,239,29,138,0,34,48,30,20,18
49,76,0,223,190,174,87,105,20,60,84,20,40,0,8
63,0,106,49,163,298,298,25,183,11,0,12,51,0,4
32,112,31,65,165,122,20,45,12,82,27,37,0,14,0
0,0,0,20,0,0,92,73,201,221,344,652,319,334,83
0,135,186,426,280,60,54,24,15,0,0,0,50,0,0
0,0,0,0,0,35,148,46,115,96,138,607,314,143,266
100,109,158,119,241,91,124,40,57,59,74,134,73,37,106
0,95,278,571,304,146,50,66,96,65,144,329,270,50,38
0,21,108,56,104,46,38,0,0,19,54,17,0,0,0
375,196,214,136,91,192,91,9,10,2,99,77,27,28,0
32,159,222,440,52,147,250,124,57,109,0,79,67,60,88
42,81,172,205,175,96,118,0,0,0,77,126,67,0,65
0,0,270,165,204,111,72,0,0,0,16,0,47,49,0
50,67,70,138,137,68,133,76,160,9,87,117,117,94,51
201,63,51,177,376,299,115,122,90,46,150,115,49,16,18
50,119,68,64,141,177,139,31,44,25,29,182,52,20,42
54,135,80,34,63,61,71,30,0,15,69,51,0,9,12
38,40,93,75,258,148,90,76,82,0,35,25,97,20,68
61,121,116,157,313,261,570,53,39,53,21,96,104,31,37
58,90,120,170,232,193,236,42,135,40,29,67,16,40,23
67,78,28,44,118,81,63,47,47,8,34,63,28,33,7
32,43,53,70,124,71,98,64,40,7,19,29,47,8,18
326,252,98,102,157,37,81,29,9,0,43,0,0,0,0
458,348,372,313,212,31,198,93,25,0,112,15,0,0,12
15,16,26,32,120,74,72,0,16,0,0,15,0,8,0
68,17,14,26,401,183,125,55,36,41,49,57,12,38,0
124,111,226,140,138,152,193,60,53,0,102,96,130,12,59
128,8,132,84,54,214,227,106,43,0,13,13,0,0,38
12,13,26,0,0,0,0,0,0,0,0,0,0,13,0
129,148,89,86,267,71,95,41,0,0,294,44,34,71,89
16,37,107,156,184,355,200,129,104,87,32,198,6,0,27
186,68,182,154,146,77,145,16,31,60,39,33,118,92,14
15,33,68,167,53,82,199,40,106,15,16,66,0,0,0
82,208,129,77,105,108,159,52,72,19,55,50,26,13,0
63,85,61,44,91,242,86,67,17,49,74,32,0,0,12
41,53,105,162,271,349,77,46,26,0,11,14,0,8,0
124,28,242,204,169,327,228,8,73,35,69,69,104,13,0
43,112,173,137,225,124,105,25,35,45,45,58,39,0,0
77,118,89,56,69,76,145,206,118,32,26,54,43,43,46
60,39,115,131,192,349,376,127,179,68,28,119,21,22,45
27,0,17,7,29,64,87,8,7,0,1,37,51,158,284
73,51,220,113,63,35,29,0,17,20,0,0,0,0,0
268,258,201,70,127,132,82,0,0,17,0,26,20,0,0
130,0,149,201,510,450,218,121,92,0,185,205,18,17,57
46,129,73,117,52,30,18,47,69,0,24,24,15,24,0
78,50,21,186,127,150,92,20,21,41,34,27,16,7,6
87,18,21,36,135,209,185,61,31,19,18,19,13,0,41
351,276,184,277,71,31,119,76,41,0,68,65,14,102,34
0,70,269,215,107,127,43,50,25,50,0,50,0,0,0
185,275,126,88,77,54,55,14,50,39,14,15,33,0,0
14,15,26,124,110,23,52,6,0,0,0,12,0,0,0
516,380,106,60,52,44,18,26,11,0,35,0,0,0,0
202,212,321,327,119,36,62,22,0,9,7,109,0,21,0
73,109,145,155,165,305,135,81,180,63,142,81,34,45,66
35,60,31,65,123,103,215,119,4,32,87,63,69,95,14
0,7,6,0,0,0,0,0,6,0,0,0,0,0,0
186,46,59,55,18,35,49,17,36,9,28,11,76,8,35
34,9,9,0,0,0,0,0,0,0,0,0,0,0,0
39,59,64,28,41,82,63,27,69,22,31,59,38,32,71
130,508,272,380,381,472,477,125,269,89,52,16,45,14,10
108,133,92,31,23,103,190,60,145,80,33,48,11,29,37
118,160,280,73,163,0,59,0,50,0,0,13,0,0,0
96,110,158,37,242,89,61,39,39,69,28,4,14,22,57
74,33,44,78,110,124,117,9,10,14,74,35,0,8,29
92,165,198,168,30,59,75,22,98,114,47,98,19,25,0
15,112,37,89,68,197,69,0,41,12,38,69,33,29,0
262,178,176,56,58,34,204,101,54,23,51,52,5,57,25
0,0,96,0,10,0,17,6,0,0,11,63,43,39,18
85,0,0,114,0,16,3,0,0,0,14,20,19,0,0
0,0,116,112,99,0,0,0,279,33,0,108,14,39,0
0,242,0,84,107,0,14,0,57,0,0,23,27,51,0
532,328,45,37,11,11,183,0,21,15,0,0,0,0,0
110,48,131,145,68,211,109,36,154,23,98,245,164,94,31
88,68,0,144,123,49,0,0,42,0,0,42,5,0,0
0,182,0,6,106,40,31,20,21,3,15,153,34,0,0
137,175,344,157,75,89,12,16,48,14,34,43,0,17,36
0,0,10,11,0,0,0,0,0,0,0,0,0,0,0
146,131,187,144,20,0,13,0,0,0,0,0,4,0,0
