"25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over"
164,744,503,204,60,132,148,64,37,47,27,26,5,0,0
187,44,58,216,0,10,52,14,15,48,119,23,30,4,0
68,147,296,120,78,140,68,38,59,21,17,78,39,7,8
55,19,23,58,78,107,124,43,23,22,24,59,42,51,8
35,96,205,117,113,72,90,92,177,127,66,26,21,49,0
9,23,12,29,72,60,38,37,92,16,26,90,40,15,0
173,36,139,72,162,72,15,0,0,0,0,0,19,0,0
218,295,454,199,255,122,0,0,21,0,0,0,0,0,0
78,6,77,121,174,55,66,30,38,20,46,76,63,25,47
42,69,56,198,52,71,53,27,11,39,0,84,0,0,0
134,221,239,171,136,67,107,19,65,63,44,72,22,7,70
269,395,178,190,66,218,147,16,71,22,36,14,53,24,81
221,223,140,23,114,262,47,0,35,0,36,45,0,34,0
43,346,486,384,40,32,107,42,4,0,0,59,41,0,0
26,50,85,125,30,64,57,0,6,16,20,23,0,14,23
69,176,47,38,74,144,117,49,54,40,35,108,0,9,41
67,80,99,4,81,81,30,26,77,49,59,52,17,39,45
92,25,57,13,35,80,121,28,136,85,33,36,21,0,41
19,81,41,22,62,10,18,18,0,31,43,84,23,18,8
59,55,13,60,49,51,88,18,72,30,28,35,10,28,16
31,48,49,51,86,63,101,0,55,12,0,21,36,3,9
41,139,223,62,183,63,111,95,131,57,73,133,28,117,49
44,76,169,173,172,25,176,22,88,101,140,28,57,10,43
91,68,45,31,43,27,145,50,47,9,8,0,11,0,0
250,65,135,132,91,122,99,40,77,15,154,157,102,0,43
40,85,106,130,19,29,66,0,30,10,21,10,21,0,5
65,116,102,149,179,26,131,0,18,40,80,59,0,18,0
59,56,42,0,32,72,60,115,32,14,10,42,5,20,16
88,97,67,85,139,89,157,37,51,53,31,110,133,0,11
119,93,40,165,53,55,105,9,96,24,10,38,28,34,9
148,0,64,44,113,104,72,104,61,22,38,74,119,23,41
167,62,135,98,38,67,10,33,37,50,44,177,14,0,10
151,503,307,64,37,32,23,11,31,5,0,73,56,11,35
177,201,147,91,65,50,42,20,74,20,83,75,65,0,10
96,143,72,171,71,34,53,34,32,12,13,46,60,43,41
14,105,60,14,53,23,163,56,46,6,5,8,23,9,33
201,178,381,158,248,219,115,37,45,30,19,8,19,21,0
185,55,54,240,46,8,20,0,0,11,0,0,0,0,0
2,10,0,0,0,0,12,2,0,0,0,0,0,0,0
26,0,0,0,0,21,22,0,0,0,0,0,21,0,0
178,137,122,233,76,120,45,20,38,40,43,46,39,58,57
35,39,41,102,191,85,150,106,39,13,53,18,82,45,12
250,125,19,133,81,41,66,112,46,42,80,79,95,45,162
28,60,59,58,55,20,35,36,42,25,10,23,25,23,12
15,0,39,105,38,41,88,40,11,0,11,53,28,36,42
109,41,62,39,51,53,13,21,7,0,34,61,15,8,44
91,44,38,5,82,60,155,26,31,0,57,56,9,0,11
60,119,89,95,19,72,94,73,9,54,86,35,11,9,19
78,303,71,217,78,63,81,29,21,0,88,45,62,39,93
304,260,318,234,131,153,121,35,78,22,52,55,63,22,23
77,37,66,63,47,25,34,0,60,49,14,20,21,7,37
112,14,194,158,150,71,49,17,11,25,43,65,35,26,22
51,60,78,22,58,76,94,16,25,45,20,29,6,23,10
53,33,33,121,75,230,75,44,42,26,28,58,26,8,49
38,61,50,98,59,101,57,43,36,22,42,6,32,34,69
52,30,86,51,73,103,73,2,64,9,16,35,18,2,4
17,159,132,160,119,119,80,19,94,38,92,93,45,20,11
45,129,37,49,62,219,35,39,146,105,51,88,51,1,39
28,15,66,114,105,37,15,30,27,23,23,55,12,0,17
158,54,131,157,122,55,140,51,85,60,65,15,31,8,0
91,171,100,191,108,211,102,54,123,27,86,46,66,40,10
35,70,85,79,110,433,138,19,49,17,22,26,31,28,25
98,149,105,133,138,165,148,89,54,28,10,99,60,10,24
83,119,263,130,39,107,134,26,176,121,89,95,55,17,8
129,43,191,72,123,144,81,193,221,120,19,194,92,56,127
78,37,316,66,27,128,106,27,27,0,66,35,84,14,34
47,83,9,33,25,44,16,32,29,8,26,15,0,0,11
61,29,78,0,64,7,35,12,43,8,69,44,24,0,18
31,59,73,20,55,51,101,27,47,64,26,66,0,16,25
99,94,85,65,77,77,79,70,84,105,97,77,42,47,51
27,149,76,56,45,89,105,29,54,54,0,169,39,3,2
0,77,78,54,92,69,106,19,178,113,31,43,13,54,0
222,42,131,100,115,101,108,0,50,33,41,76,19,24,18
40,11,57,131,77,82,45,28,34,119,51,130,4,12,0
0,154,0,244,74,16,134,32,43,29,84,23,27,20,40
308,207,221,126,269,109,368,97,113,155,27,108,25,86,75
12,180,241,162,31,21,28,66,22,46,158,170,165,109,0
121,55,25,0,35,167,48,79,72,28,58,36,11,47,0
25,36,38,132,41,10,201,24,27,11,0,20,208,38,0
355,36,75,89,60,110,182,164,34,0,199,157,47,15,14
18,6,13,50,167,61,77,0,39,10,0,16,37,16,0
38,46,54,19,227,138,31,15,16,19,75,28,30,0,0
48,55,11,68,74,13,60,12,24,61,12,17,21,12,33
12,53,60,37,46,45,13,13,23,39,86,32,19,11,84
203,211,127,84,113,87,130,21,71,23,65,149,212,19,38
169,257,362,40,19,110,90,58,67,87,41,14,11,9,36
69,101,91,80,114,126,99,33,22,59,69,383,60,25,13
65,45,32,74,36,39,123,92,35,24,59,63,30,28,49
112,51,20,16,74,50,31,16,53,0,6,29,0,16,33
14,48,66,0,60,56,0,41,16,0,0,16,35,16,85
244,175,95,186,114,251,165,0,101,50,122,13,130,0,15
204,229,207,39,281,142,138,82,104,52,22,14,0,105,35
164,0,0,15,121,143,0,0,14,0,28,15,0,0,0
73,42,114,83,82,133,71,46,43,68,26,29,7,64,20
40,16,158,59,159,229,42,8,23,31,35,24,22,23,25
107,132,33,105,33,111,137,25,20,9,7,7,0,20,22
185,264,136,85,476,126,130,20,55,38,93,48,15,15,44
71,38,30,48,69,7,9,14,30,10,17,88,9,10,25
65,134,46,47,137,63,19,18,56,74,0,186,17,10,15
51,55,86,198,18,77,65,27,20,0,5,0,0,0,12
41,135,24,171,226,115,20,37,16,62,80,70,27,10,66
138,91,208,127,227,176,65,60,43,16,53,49,207,44,23
132,78,24,35,43,84,106,101,41,15,27,17,16,23,11
136,380,590,72,63,90,15,0,59,0,0,0,0,0,0
98,83,76,14,96,26,197,13,146,14,64,66,35,18,29
222,119,261,270,108,89,139,0,42,0,0,0,0,0,0
142,196,153,55,34,42,12,0,0,26,94,28,45,0,0
60,53,65,39,31,120,88,45,37,10,30,62,14,53,9
15,42,69,19,54,45,38,5,24,36,15,83,3,26,18
65,151,97,70,56,52,127,29,61,24,44,25,70,31,27
132,124,80,184,103,140,185,121,31,84,68,46,60,73,49
404,247,140,75,59,140,103,4,37,0,12,0,0,0,0
125,21,40,52,27,195,193,5,76,7,39,54,47,20,19
59,63,319,93,210,118,76,61,33,8,9,32,0,34,25
18,26,61,105,20,84,9,7,11,11,15,9,0,0,0
15,88,102,131,62,96,49,39,23,20,90,93,95,16,16
132,111,86,127,150,83,144,100,82,2,31,85,26,13,26
10,41,58,55,19,8,67,13,13,61,6,36,34,0,10
58,137,56,75,5,44,63,72,122,42,13,35,25,0,11
99,54,15,71,137,89,40,0,60,8,7,0,0,0,0
196,125,160,154,86,151,69,91,37,13,10,71,13,24,1
67,58,187,248,50,358,289,49,101,97,79,27,408,17,166
67,19,47,282,89,34,99,0,14,16,110,11,80,16,0
79,89,96,163,138,32,59,132,17,0,76,20,14,56,11
53,0,103,94,146,142,79,29,28,19,54,86,9,97,19
0,0,11,68,94,25,109,0,37,0,62,50,0,31,44
41,52,12,10,15,64,42,29,44,28,28,17,37,11,21
179,75,49,79,72,80,185,25,40,38,95,100,13,0,30
100,47,71,26,41,105,61,35,89,48,55,25,68,47,0
37,41,69,91,96,43,68,50,102,24,25,57,42,34,23
265,93,156,118,269,138,222,69,147,13,10,23,0,0,95
147,268,168,105,67,323,117,73,180,15,120,115,147,45,32
142,138,184,280,86,69,168,0,43,33,184,123,74,82,0
102,184,9,18,50,78,66,26,40,46,41,36,10,35,16
