"Less than high school","Some high school","High school graduate or equivalent (for example GED)","Some college, but degree not received or is in progress","Associate’s degree (for example AA, AS)","Bachelor's degree (for example BA, BS, AB)","Graduate degree (for example master's, professional, doctorate)"
4,0,239,76,85,88,88
74,1,395,274,125,240,92
128,0,1125,244,254,388,62
320,29,388,55,9,52,31
7,38,639,50,75,78,95
86,39,369,144,31,181,108
0,24,215,92,66,98,36
0,42,135,82,70,48,74
23,76,272,193,104,241,151
132,6,173,173,123,131,80
47,161,223,131,10,183,47
113,182,494,206,54,364,205
200,128,989,228,95,217,65
114,76,476,244,207,437,52
31,0,379,102,47,128,70
111,99,209,76,46,287,117
41,99,176,149,58,193,61
170,133,401,141,82,219,0
54,144,380,93,73,175,72
19,80,495,272,15,81,20
17,14,334,86,129,58,50
226,20,268,90,63,297,181
53,140,394,241,157,292,107
36,35,95,10,0,20,7
205,236,789,631,239,239,147
16,142,361,91,109,106,61
67,146,360,224,95,111,18
196,129,529,140,125,120,44
238,107,400,157,178,121,8
57,128,398,238,156,93,51
0,10,235,114,54,23,50
165,114,474,83,95,102,101
200,14,226,31,97,118,0
87,52,147,69,87,318,24
215,177,369,129,96,72,27
174,200,234,70,71,144,74
100,97,257,300,20,50,0
143,0,65,183,0,0,0
337,158,221,257,85,161,33
0,16,487,137,0,0,0
61,218,333,591,189,337,259
196,128,276,89,54,15,17
274,362,361,233,20,129,0
116,146,202,196,125,82,22
89,123,416,21,0,25,0
66,0,117,81,46,70,39
114,81,226,66,80,78,0
257,61,461,301,48,45,0
170,96,267,68,96,91,46
379,173,280,100,18,117,8
203,124,232,163,19,79,16
597,379,1060,170,30,22,25
556,226,300,219,147,297,248
123,68,90,43,0,44,0
208,119,512,206,106,177,10
74,21,127,116,4,164,38
247,227,375,186,12,151,50
327,223,495,126,33,118,50
6,0,74,74,22,74,122
19,23,97,26,32,60,219
9,0,67,10,0,52,55
2,0,44,29,3,142,310
174,91,193,91,18,159,207
385,53,168,35,0,69,46
112,16,59,25,38,32,0
0,0,0,0,48,55,0
238,44,404,23,0,34,115
307,172,292,60,0,35,0
268,0,511,86,28,17,0
153,59,613,250,73,294,59
207,237,407,192,13,246,36
297,111,342,58,17,29,0
558,92,525,93,13,56,0
230,40,58,80,50,125,24
427,203,369,62,33,52,10
288,123,241,0,0,16,27
119,284,456,62,13,33,0
235,197,413,289,67,221,209
337,174,235,79,34,25,63
157,150,176,113,26,119,48
383,233,475,152,32,96,1
206,216,25,44,92,37,0
66,54,531,318,141,414,264
166,171,134,140,76,247,151
81,72,150,190,58,271,41
157,44,194,104,142,140,8
223,105,197,55,7,88,29
203,11,107,77,35,31,24
109,48,406,243,22,43,19
31,0,56,48,26,91,43
12,74,222,148,112,378,123
252,79,254,180,160,127,255
240,60,173,64,14,67,28
36,52,160,146,79,393,285
68,75,226,85,92,187,179
29,50,217,84,99,248,210
76,91,236,107,105,369,293
48,29,124,138,63,571,336
71,56,131,23,20,267,344
0,56,436,291,88,294,239
51,28,112,118,99,241,317
